,UBICAZIONE ATTRAVERSAMENTO,Flusso,Incidenti,N. SEGNALAZIONI,1) dopo una curva,2) su rettilineo,3) su strada in pendenza,4) v ≤50 km/h,5) v  > 50 km/h,6) lontano da fonti di illuminazione ,7) su viale alberato,8) in prospicienza di elementi schermanti ,lat,lon,VALORE PRIORITA',5) v  > 50 km/h,VALORE PRIORITA\'
0,BOBBIO 8 R (ALTEZZA MONUMENTO SPAGNOLO),2.0,6.0,1.0,1.0,,,1.0,,,,,44.41577638039859,8.950325358612172,12.65,,
1,BRACELLI/INCROCIO V. FERREGGIANO,2.0,4.0,1.0,,,,1.0,,,,,44.416308,8.958567,7.05,,
2,BRACELLI/INIZIO DIREZIONE MONTE,2.0,1.0,1.0,,,,1.0,,,,,44.41942405569151,8.958479936002982,4.05,,
3,BRACELLI/VIA DEL CAMOSCIO,2.0,0.0,2.0,1.0,1.0,1.0,1.0,,,,1.0,44.417954,8.95921,15.5,,
4,C.SO MONTEGRAPPA SCALA METRO,2.0,8.0,1.0,,1.0,1.0,1.0,,,,1.0,44.40795,8.948314,19.15,,
5,CANEVARI/PIAZZETTA FIRPO                                        ,2.0,0.0,1.0,,,,1.0,,,,,44.41100693966749,8.952140007452313,3.05,,
6,CARRARA,2.0,1.0,1.0,,1.0,,1.0,,,,,44.39488982045502,8.992348586254185,6.75,,
7,CASONI ,,1.0,1.0,,1.0,,1.0,,,,,44.40646930802713,8.95915262065377,5.35,,
8,CHIESA S.GIORGIO DI BAVARI 78 NERO 35 ROSSO,1.0,0.0,1.0,,,,1.0,,,,1.0,44.42717686936153,9.010667919068332,5.95,,
9,CONTUBERNIO/VIA D'ALBERTIS ALTEZZA CIV.25,2.0,0.0,1.0,,1.0,1.0,1.0,,,1.0,1.0,44.40992401097511,8.958288899905922,15.65,,
10,CONTUBERNIO/VIA D'ALBERTIS ALTEZZA V. REPETTO,2.0,5.0,4.0,,1.0,1.0,1.0,,,1.0,1.0,44.40910394012136,8.957958988181222,22.9,,
11,CONTUBERNIO/VIA D'ALBERTIS ALTEZZA VIA BOZZANO,2.0,1.0,1.0,,1.0,1.0,1.0,,,1.0,1.0,44.41037044657945,8.958350590716464,16.65,,
12,DE STEFANIS (ALTEZZA VIA FASSICOMO),2.0,1.0,1.0,,1.0,,1.0,,,,,44.42095502417354,8.949077641713687,6.75,,
13,DONATO SOMMA ,,1.0,1.0,,,,,,,,,,,1.75,,
14,EUROPA (DA NERVI A VIA DELL'OMBRA),,0.0,1.0,,,,,,,,,,,0.75,,
15,FA RIFERMENTO ALLA DECISIONE 4 DEL 09/01/2020,,0.0,1.0,,,,,,,,,,,0.75,,
16,FEREGGIANO CIV. 45,2.0,1.0,1.0,,,,1.0,,,,,44.4154955281232,8.957319536851317,4.05,,
17,FIRENZE (ALTEZZA GIARDINI DINO ROSSI),2.0,1.0,1.0,,,,1.0,,,1.0,1.0,44.41863895581052,8.934256421621496,12.15,,
18,GALILEO FERRARIS,2.0,12.0,1.0,,,,1.0,,,,,44.41642575712656,8.95768771183343,13.85,,
19,GIANELLI 19-17r,3.0,5.0,2.0,,1.0,1.0,1.0,,,,,44.38515173699393,9.016219869852945,14.0,,
20,GIARDINO LARGO/C.SO MONTEGRAPPA,1.0,0.0,1.0,,1.0,1.0,1.0,,,1.0,1.0,44.41404381187673,8.949160098185747,14.95,,
21,ISOCORTE 4 A PONTEDECIMO,1.0,0.0,1.0,,,1.0,1.0,,,,1.0,44.49466532208198,8.903509924395209,7.75,,
22,LARGO GANDOLFO altezza BAR EDERA,2.0,0.0,1.0,1.0,,1.0,1.0,,,,1.0,44.46910878980335,8.89900738718249,12.05,,
23,MERLO / VIA ROMAGNOLI,2.0,1.0,1.0,,,,1.0,,,,1.0,44.42020083661263,8.967312159697727,7.65,,
24,MONNET (ALTEZZA MONUMENTO SPAGNOLO),2.0,1.0,3.0,,1.0,,1.0,,,,1.0,44.41614875080298,8.950472224653371,11.85,,
25,MONNET (SCUOLA BUONARROTI),3.0,3.0,1.0,,1.0,,1.0,,,,1.0,44.41522531053906,8.951499510740161,13.05,,
26,MORESCO/PIAZZETTA FIRPO,3.0,2.0,3.0,,1.0,,1.0,,1.0,,1.0,44.41105276664808,8.95276909998837,18.05,,
27,NICCOLO' PAGANINI 35,2.0,2.0,1.0,,1.0,,1.0,,,1.0,1.0,44.41521109869598,8.93429487315674,15.85,,
28,P.ZZA GIUSTI/ VIA ARCHIMDE/C.SO SARDEGNA/VIA GIACOMETTI,3.0,4.0,1.0,,,,1.0,,,,,44.40711920420109,8.95322139046033,7.75,,
29,"PIACENZA (IN PROSSIMITA' VIA RIVA, SCUOLE)",1.0,0.0,1.0,,1.0,,1.0,,,,,44.42787296358481,8.950197319060223,5.05,,
30,PIAZZA LERDA,2.0,0.0,1.0,,,,1.0,,,,1.0,44.42845170946653,8.75404920529721,6.65,,
31,POSALUNGA da LOC S. ROCCO/PASSO VEZZELLI A PIAZZA ROTONDA,2.0,0.0,1.0,1.0,,,1.0,,,,,44.40882602558624,8.988393968992549,6.65,,
32,ROSSINI,,0.0,1.0,,,,,,,,,44.43624720943747,8.892402427500047,0.75,,
33,SALITA DELLA PROVVIDENZA 1,2.0,2.0,1.0,1.0,1.0,1.0,1.0,,,,1.0,44.417352746718265,8.922372424326257,16.75,,
34,SAMPIERDARENA CIV 34 (MUNICIPIO),2.0,0.0,1.0,,1.0,,1.0,,,,1.0,44.409732355378765,8.890423083214172,9.35,,
35,SARDEGNA CIV 159R,2.0,0.0,1.0,,1.0,,1.0,,,,,44.40876095690305,8.953868372426745,5.75,,
36,SARDEGNA CIV 67,2.0,0.0,1.0,,1.0,,1.0,,,,,44.40932100724535,8.954093595109729,5.75,,
37,SARDEGNA/VIA BONIFACIO,2.0,0.0,1.0,,1.0,,1.0,,,,,44.41342489580817,8.956053622916539,5.75,,
38,SARDEGNA/VIA CAGLIARI,2.0,2.0,1.0,,1.0,,1.0,,,,,44.41259087253423,8.955620017472418,7.75,,
39,SARDEGNA/VIA VARESE,2.0,0.0,1.0,,1.0,,1.0,,,,,44.41000206892264,8.954420426124548,5.75,,
40,STRUPPA (ALTEZZA P.TE NICHOLAS GREEN),1.0,1.0,1.0,,1.0,,1.0,,,,,44.44814107230939,9.00681185334114,6.05,,
41,TORTI CIV. 37,1.0,7.0,2.0,,1.0,,1.0,,,,,44.40705413698174,8.964389730155634,12.8,,
42,TUTTI GLI ATTRAVERSAMENTI CON FREQUENZA DI INCIDENTALITA' DEL MUNICIPIO,,0.0,1.0,,,,,,,,,44.43773436757292,8.895961856396966,0.75,,
43,VEZZANI 66R,1.0,2.0,1.0,,,1.0,1.0,,,,1.0,44.49773171851106,8.904135938543265,9.75,,
